Class_Index,Class_Name,Precision,Recall,mAP50,mAP50-95,F1_Score
0,10C,0.0,0.0,0.0,0.0,0.0
1,10D,0.0,0.0,0.0,0.0,0.0
2,10H,0.0,0.0,0.013224867967853044,0.004445476414543366,0.0
3,10S,0.0,0.0,0.0,0.0,0.0
4,2C,0.0,0.0,0.0,0.0,0.0
5,2D,0.0,0.0,0.0,0.0,0.0
6,2H,0.0,0.0,0.0,0.0,0.0
7,2S,0.0,0.0,0.0,0.0,0.0
8,3C,0.0,0.0,0.0,0.0,0.0
9,3D,0.0,0.0,0.0,0.0,0.0
10,3H,0.0,0.0,0.0,0.0,0.0
11,3S,0.0,0.0,0.0,0.0,0.0
12,4C,0.0,0.0,0.0,0.0,0.0
13,4D,0.0,0.0,0.0,0.0,0.0
14,4H,0.0,0.0,0.0,0.0,0.0
15,4S,0.0,0.0,0.0,0.0,0.0
16,5C,0.0,0.0,0.0,0.0,0.0
17,5D,0.0,0.0,0.0,0.0,0.0
18,5H,0.0,0.0,0.0,0.0,0.0
19,5S,0.0,0.0,0.0,0.0,0.0
20,6C,0.0,0.0,0.0,0.0,0.0
21,6D,0.0,0.0,0.0,0.0,0.0
22,6H,0.0,0.0,0.0,0.0,0.0
23,6S,0.0,0.0,0.0,0.0,0.0
24,7C,0.0,0.0,0.0,0.0,0.0
25,7D,0.4987551670767107,0.9,0.6244047619047618,0.3367055826118326,0.6418268758123333
26,7H,0.0,0.0,0.0,0.0,0.0
27,7S,0.0,0.0,0.0,0.0,0.0
28,8C,0.0,0.0,0.0,0.0,0.0
29,8D,0.0,0.0,0.0,0.0,0.0
30,8H,0.0,0.0,0.0,0.0,0.0
31,8S,0.0,0.0,0.0,0.0,0.0
32,9C,0.0,0.0,0.0,0.0,0.0
33,9D,0.0,0.0,0.0,0.0,0.0
34,9H,0.0,0.0,0.076541396570633,0.04299729021870035,0.0
35,9S,0.0,0.0,0.0,0.0,0.0
36,AC,0.0,0.0,0.01763823326432022,0.012074488776596368,0.0
37,AD,0.0,0.0,0.0,0.0,0.0
38,AH,0.0,0.0,0.0,0.0,0.0
39,AS,0.0,0.0,0.0,0.0,0.0
40,JC,0.0,0.0,0.0,0.0,0.0
41,JD,0.0,0.0,0.0,0.0,0.0
42,JH,0.0,0.0,0.0,0.0,0.0
43,JS,0.6561268784615544,0.8,0.7402850877192984,0.353250398724083,0.7209552272617962
44,KC,0.0,0.0,0.0,0.0,0.0
45,KD,0.0,0.0,0.0,0.0,0.0
46,KH,0.0,0.0,0.0,0.0,0.0
47,KS,0.0,0.0,0.038960714285714286,0.02337642857142857,0.0
48,QC,0.0,0.0,0.0,0.0,0.0
49,QD,0.0,0.0,0.0,0.0,0.0
50,QH,0.0,0.0,0.005251254168667193,0.0031507525012003158,0.0
51,QS,0.0,0.0,0.0,0.0,0.0
